Document,Topic,Weight
881,2,0.8749974
882,3,0.6746311
883,0,0.8504105
884,0,0.86654186
885,0,0.8704895
886,0,0.88807863
887,2,0.47545823
888,0,0.59141266
889,0,0.87953526
890,0,0.9141901
891,2,0.64172393
892,1,0.52112716
893,0,0.8432329
894,0,0.69955385
895,0,0.8658752
896,1,0.8835227
897,0,0.86375344
898,0,0.83067876
899,2,0.64178175
900,0,0.8521953
901,0,0.9092825
902,0,0.92028207
903,0,0.6046467
904,1,0.85257804
905,0,0.8796158
906,1,0.9074526
907,3,0.58249855
908,3,0.8697678
909,1,0.9091084
910,0,0.91095996
911,0,0.85534734
912,0,0.9192323
913,1,0.46563253
914,0,0.87507176
915,3,0.8492229
916,1,0.89898986
917,3,0.5964617
918,0,0.9052535
919,3,0.59288853
920,2,0.5371586
921,0,0.6021635
922,0,0.83000773
923,2,0.7804433
924,0,0.5257334
925,0,0.5059635
926,0,0.8568036
927,0,0.9279982
928,1,0.90000623
929,1,0.8936363
930,0,0.47242722
931,0,0.6554801
932,1,0.8752909
933,0,0.5740397
934,0,0.9121846
935,0,0.9137578
936,0,0.82259005
937,1,0.89918804
938,1,0.7781006
939,0,0.9193693
940,1,0.90467966
941,0,0.8805201
942,1,0.8230566
943,0,0.85894024
944,0,0.47574842
945,1,0.8883105
946,2,0.54411006
947,2,0.91263866
948,1,0.866572
949,1,0.53007746
950,1,0.89158
951,0,0.7454614
952,0,0.9089657
953,0,0.8796609
954,0,0.9214944
955,0,0.6566617
956,3,0.8718862
957,2,0.8769718
958,3,0.9129461
959,1,0.88955694
960,0,0.6038977
961,1,0.74263346
962,0,0.884797
963,3,0.8822511
964,1,0.9078245
965,1,0.6688834
966,1,0.5140858
967,0,0.8954643
968,1,0.7178154
969,1,0.8561535
970,0,0.8565176
971,1,0.8812745
972,1,0.83134824
973,0,0.882319
974,0,0.8890933
975,0,0.8700641
976,1,0.861734
977,0,0.8732974
978,0,0.6036325
979,3,0.89611286
980,0,0.8323186
981,1,0.78701025
982,0,0.93062234
983,2,0.8806831
984,1,0.90306383
985,1,0.86898243
986,2,0.5203534
987,3,0.91044635
988,0,0.9123985
989,0,0.9051096
990,3,0.856303
991,0,0.8715615
992,0,0.6753501
993,1,0.9015079
994,1,0.9194804
995,0,0.51949257
996,0,0.60544163
997,1,0.89235586
998,2,0.6718848
999,0,0.90281147
1000,1,0.6482333
1001,0,0.90904033
1002,1,0.8808971
1003,1,0.8631038
1004,0,0.93496823
1005,0,0.59333885
1006,3,0.5605248
1007,0,0.8818906
1008,0,0.5533679
1009,0,0.5350779
1010,2,0.87300086
1011,0,0.8568386
1012,0,0.8464253
1013,2,0.74031115
1014,0,0.78522956
1015,2,0.61465096
1016,0,0.5178698
1017,0,0.85811543
1018,1,0.82701087
1019,3,0.81849784
1020,1,0.8879728
1021,0,0.854257
1022,1,0.47904104
1023,2,0.7724325
1024,0,0.90735525
1025,2,0.6333199
1026,1,0.9123592
1027,3,0.41190103
1028,2,0.555705
1029,1,0.46593392
1030,0,0.9006151
